english,russian
aaron,эрон
abac,счеты
abaca,абака
abaci,счеты
aback,назад
abacus,счеты
abaft,позади
abaissement,унижение
abalienate,передавать
abalienation,передача
abandonedly,беззаботно
abandonee,страховщик
abandonment,отказ
abarognosis,абарогонозия
abarthrosis,диартроз
abase,снижать
abasedly,униженно
abasement,снижение
abash,смущать
abashedly,смущенно
abashment,смущение
abasia,абазия
abasive,унижающий
abatable,снижаемый
abate,уменьшать
abatement,снижение
abatements,снижение
abatis,засека
abattoir,бойня
abbacy,аббатство
abbatial,аббатский
abbe,аббат
abbes,аббатиса
abbey,аббатство
abbotship,аббатство
abbr,сокращение
abbrev,сокращение
abbreviate,укорачивать
abbreviation,сокращение
abbreviator,аббревиатор
abdicate,отказываться
abdication,отказ
abdicator,отреченец
abdomen,живот
abdominal,брюшной
abducent,отводящий
abduct,похищать
abduction,отведение
abductive,отводящий
abductively,отводя
abductor,абдуктор
abel,абель
abenteric,внекишечный
aberrance,заблуждение
aberrancy,заблуждение
aberrant,заблуждающийся
aberration,заблуждение
aberrational,аберрационный
aberrometer,аберрометр
abet,способствовать
abetment,содействие
abetter,подстрекатель
abettor,подстрекатель
abhor,ненавидеть
abhorrently,несовместимо
abhorrer,ненавистник
abidance,соответствие
abide,соблюдать
abidence,выполнение
abidingly,неизменно
abidjan,абиджан
abigail,абигайль
abilitionism,аболиционизм
ability,способность
abiogenesis,абиогенез
abiogenetic,абиогенетический
abiogenist,абиогенетик
abject,жалкий
abjection,приниженность
abjectly,приниженно
abjectness,низость
abjuration,отречение
abjuratory,отречение
abjure,отказываться
abjurer,отреченец
ablate,удалять
ablatival,аблятивный
ablaut,абляут
ablaze,пылать
able,способный
ablebodied,трудоспособный
ableness,годность
ablins,возможно
ablution,промывка
ablutionary,промывочный
ably,умело
abnegation,отрицание
abnegative,отрицательный
abnegator,отрицатель
abnormal,аварийный
abnormality,аномалия
abnormally,ненормально
abnormity,аномалия
abode,местопребывание
abolishment,отмена
abolition,уничтожение
abolitionary,аболиционистский
abolitionism,аболиционизм
abolitionist,аболиционист
abomasum,сычуг
abominable,отвратительный
abominably,отвратительно
abominate,ненавидеть
abomination,отвращение
abominations,отвращение
abominator,ненавистник
abonent,абонент
aboriginal,исконный
abortional,абортивный
abortive,прерванный
abortiveness,прерываемость
abound,изобиловать
aboveboard,честно
abovementioned,вышеупомянутый
abracadabra,абракадабра
abradant,абразив
abrade,изнашиваться
abranchian,безжаберный
abranchiate,безжаберный
abrasion,снашивание
abrasions,снашивание
abrasively,абразивно
abrasiveness,абразивность
abreact,отреагировать
abreaction,отреагирование
abridge,сокращать
abridgeable,сокращаемый
abridgement,сокращение
abridger,усекатель
abridgment,сокращение
abroach,открывать
abrogable,отменяемый
abrogate,отменять
abrogation,отмена
abrogations,отмена
abrogative,подавляющий
abruption,разрыв
abruptly,резко
abruptness,крутизна
abscess,абсцесс
abscessed,абсцедирующий
abscessing,абсцедирующий
abscise,отсекать
abscissa,абсцисса
abscissae,абсцисса
abscission,отсечение
abscond,скрываться
absconded,скрываться
absconder,скрывающийся
absent,отсутствующий
absent-minded,рассеянный
absentation,отсутствие
absenteeism,прогул
absentees,отсутствующий
absentia,отсутствие
absently,рассеянно
absentminded,рассеянный
absinthe,абсент
absinthian,полынный
absolute,абсолютный
absolutely,совершенно
absoluteness,безусловность
absolutes,абсолют
absolutism,абсолютизм
absolutistic,абсолютистский
absolutive,абсолютистский
absolutory,оправдательный
absolvable,освобождаемый
absolve,освобождать
absolver,освободитель
absorbability,поглощаемость
absorbable,абсорбируемый
absorber,поглотитель
absorptive,поглощающий
abstain,воздерживаться
abstemious,умеренный
abstemiously,умеренно
abstemiousness,умеренность
abstention,воздержание
abstentious,воздержанный
